DFT Spectrum,  -
Numpoints, 2048
SamplingRate(Hz), 44100.000000
DFTresolution(Hz), 10.766602
Frequency(Hz), Magnitude(dB)
 9916.040, -65.280266
 9926.807, -65.458305
 9937.573, -65.647141
 9948.340, -65.843864
 9959.106, -66.046188
 9969.873, -66.252655
 9980.640, -66.462845
 9991.406, -66.677521
10002.173, -66.898735
10012.939, -67.129768
10023.706, -67.375137
10034.473, -67.640442
10045.239, -67.932297
10056.006, -68.258209
10066.772, -68.626564
10077.539, -69.046730
10088.306, -69.529266
10099.072, -70.086212
10109.839, -70.731743
10120.605, -71.483017
10131.372, -72.361427
10142.139, -73.394363
10152.905, -74.617691
10163.672, -76.077766
10174.438, -77.829185
10185.205, -79.905563
10195.972, -82.167168
10206.738, -83.808502
10217.505, -83.440491
10228.271, -81.468185
10239.038, -79.265961
10249.805, -77.339951
10260.571, -75.738258
10271.338, -74.414070
10282.104, -73.315826
10292.871, -72.402542
10303.638, -71.643318
10314.404, -71.015129
10325.171, -70.500641
10335.938, -70.086533
10346.704, -69.762558
10357.471, -69.520607
10368.237, -69.354195
10379.004, -69.258209
10389.771, -69.228409
10400.537, -69.261368
10411.304, -69.354271
10422.070, -69.504829
10432.837, -69.711098
10443.604, -69.971550
10454.370, -70.284828
10465.137, -70.649963
10475.903, -71.066101
10486.670, -71.532631
10497.437, -72.049088
10508.203, -72.615250
10518.970, -73.231033
10529.736, -73.896660
10540.503, -74.612518
10551.270, -75.379463
10562.036, -76.198715
10572.803, -77.072113
10583.569, -78.002319
10594.336, -78.992996
10605.103, -80.049324
10615.869, -81.178490
10626.636, -82.390022
10637.402, -83.697182
10648.169, -85.117188
10658.936, -86.671494
10669.702, -88.383240
10680.469, -90.264824
10691.235, -92.273636
10702.002, -94.186478
10712.769, -95.414482
10723.535, -95.323883
10734.302, -94.147919
10745.068, -92.614937
10755.835, -91.141441
10766.602, -89.852623
10777.368, -88.763321
10788.135, -87.860092
10798.901, -87.126923
10809.668, -86.551331
10820.435, -86.126312
10831.201, -85.850807
10841.968, -85.728882
10852.734, -85.771378
10863.501, -85.997185
10874.268, -86.436478
10885.034, -87.137497
10895.801, -88.179222
10906.567, -89.700493
10917.334, -91.972366
10928.101, -95.607399
10938.867, -101.794609
10949.634, -100.349602
10960.400, -93.544205
10971.167, -89.188889
10981.934, -86.078644
10992.700, -83.663536
11003.467, -81.693901
11014.233, -80.038132
11025.000, -78.618553
11035.767, -77.385582
